Rank,MovieName,ReleaseYear,EloRating,TimesCompeted,LetterboxdLink
1,Black Swan,2010,1405,12,https://letterboxd.com/film/black-swan/
2,The Dark Knight,2008,1392,12,https://letterboxd.com/film/the-dark-knight/
3,The Social Network,2010,1384,12,https://letterboxd.com/film/the-social-network/
4,Pulp Fiction,1994,1366,12,https://letterboxd.com/film/pulp-fiction/
5,The Lord of the Rings: The Two Towers,2002,1361,12,https://letterboxd.com/film/the-lord-of-the-rings-the-two-towers/
6,The Lord of the Rings: The Return of the King,2003,1357,12,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
7,The Empire Strikes Back,1980,1351,12,https://letterboxd.com/film/the-empire-strikes-back/
8,The Silence of the Lambs,1991,1345,12,https://letterboxd.com/film/the-silence-of-the-lambs/
9,Interstellar,2014,1342,12,https://letterboxd.com/film/interstellar/
10,The Lord of the Rings: The Fellowship of the Ring,2001,1339,12,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
11,The Shawshank Redemption,1994,1339,12,https://letterboxd.com/film/the-shawshank-redemption/
12,Good Will Hunting,1997,1338,12,https://letterboxd.com/film/good-will-hunting/
13,Ratatouille,2007,1334,12,https://letterboxd.com/film/ratatouille/
14,Whiplash,2014,1327,12,https://letterboxd.com/film/whiplash-2014/
15,Schindler's List,1993,1325,12,https://letterboxd.com/film/schindlers-list/
16,Scott Pilgrim vs. The World,2010,1325,12,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
17,Inglourious Basterds,2009,1321,12,https://letterboxd.com/film/inglourious-basterds/
18,The Martian,2015,1316,12,https://letterboxd.com/film/the-martian/
19,The Godfather Part II,1974,1315,12,https://letterboxd.com/film/the-godfather-part-ii/
20,The Godfather,1972,1314,12,https://letterboxd.com/film/the-godfather/
21,Se7en,1995,1314,12,https://letterboxd.com/film/se7en/
22,Saving Private Ryan,1998,1305,12,https://letterboxd.com/film/saving-private-ryan/
23,Joker,2019,1305,13,https://letterboxd.com/film/joker-2019/
24,WALL-E,2008,1303,12,https://letterboxd.com/film/walle/
25,Arrival,2016,1302,12,https://letterboxd.com/film/arrival-2016/
26,Spider-Man: Into the Spider-verse,2018,1301,12,https://letterboxd.com/film/spider-man-into-the-spider-verse/
27,Inception,2010,1300,12,https://letterboxd.com/film/inception/
28,Oppenheimer,2023,1295,13,https://letterboxd.com/film/oppenheimer-2023/
29,Full Metal Jacket,1987,1291,12,https://letterboxd.com/film/full-metal-jacket/
30,Forrest Gump,1994,1290,12,https://letterboxd.com/film/forrest-gump/
31,City of God,2002,1289,12,https://letterboxd.com/film/city-of-god/
32,Lady Bird,2017,1284,12,https://letterboxd.com/film/lady-bird/
33,The Big Short,2015,1284,12,https://letterboxd.com/film/the-big-short/
34,The Imitation Game,2014,1283,12,https://letterboxd.com/film/the-imitation-game/
35,Your Name,2016,1280,12,https://letterboxd.com/film/your-name/
36,Spider-Man: Across the Spider-Verse,2023,1279,12,https://letterboxd.com/film/spider-man-across-the-spider-verse/
37,Everything Everywhere All At Once,2022,1279,12,https://letterboxd.com/film/everything-everywhere-all-at-once/
38,Goodfellas,1990,1279,12,https://letterboxd.com/film/goodfellas/
39,Terminator 2: Judgment Day,1991,1277,12,https://letterboxd.com/film/terminator-2-judgment-day/
40,American Psycho,2000,1277,12,https://letterboxd.com/film/american-psycho/
41,The Prestige,2006,1277,12,https://letterboxd.com/film/the-prestige/
42,Eternal Sunshine of the Spotless Mind,2004,1277,12,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
43,La La Land,2016,1271,12,https://letterboxd.com/film/la-la-land/
44,Back to the Future,1985,1270,12,https://letterboxd.com/film/back-to-the-future/
45,Star Wars: Episode IV - A New Hope,1977,1267,12,https://letterboxd.com/film/star-wars-episode-iv-a-new-hope/
46,Fight Club,1999,1267,12,https://letterboxd.com/film/fight-club/
47,Raiders of the Lost Ark,1981,1266,12,https://letterboxd.com/film/raiders-of-the-lost-ark/
